Serial,DISTRICT,STATION,DATE(YYYY-MM-DD),TIME (UTC),RAINFALL CUMULATIVE SINCE 0300 UTC (mm),TEMP,TEMP DAY MIN MAX ('C),RH (%),WIND DIR (Deg),WIND SPEED (Kt),SLP (hPa),MSLP (hPa/gpm),SUNSHINE (HH.MM),BATTERY (Volts),GPS
1,DARRANG,MANGALDAI,3/10/2019,0:00:00,0,15.8,,,293,1,1005.4,1012.1,0,12.1,L
2,DARRANG,MANGALDAI,3/10/2019,1:00:00,0,16.4,,,359,0,1006.1,1012.8,0,12.2,L
3,DARRANG,MANGALDAI,3/10/2019,2:00:00,0,20.1,,99,81,2,1007.8,1014.4,0,12.9,L
4,DARRANG,MANGALDAI,3/10/2019,3:00:00,0,20.7,15.6,99,114,1,1008.4,1015,0,13.6,L
5,DARRANG,MANGALDAI,3/10/2019,4:00:00,0,21,,96,91,3,1008.8,1015.4,0,13.9,L
6,DARRANG,MANGALDAI,3/10/2019,5:00:00,0,24.6,,74,57,3,1008.2,1014.7,0,14.2,L
7,DARRANG,MANGALDAI,3/10/2019,6:00:00,0,25.2,,71,53,4,1007.3,1013.8,0,14.4,L
8,DARRANG,MANGALDAI,3/10/2019,7:00:00,0,25.2,,70,53,4,1006.7,1013.2,0,14.4,L
9,DARRANG,MANGALDAI,3/10/2019,8:00:00,0,25.8,,68,81,3,1005.4,1011.9,0,14.4,L
10,DARRANG,MANGALDAI,3/10/2019,9:00:00,0,100,,69,117,3,1004.4,1010.9,0,14.2,L
11,DARRANG,MANGALDAI,3/10/2019,10:00:00,0,24.5,,72,67,3,1004.2,1010.7,0,14.1,L
12,DARRANG,MANGALDAI,3/10/2019,11:00:00,0,23.8,,74,53,3,1004.6,1011.1,0,13.4,L
13,DARRANG,MANGALDAI,3/10/2019,12:00:00,0,21.8,25.9,84,124,1,1005.1,1011.6,0,12.6,L
14,DARRANG,MANGALDAI,3/10/2019,13:00:00,0,19.5,,95,359,0,1005.6,1012.2,0,12.4,U
